ID,Name,Internal Name,Type,Role,HP,ATK,DEF,MAG,MDEF,AGI,LUK,Action,Passive Name,Passive Description,Reaction Name,Reaction Description,Ultimate
CR-001,Glimmer-Bat,GlimmerBat,Air,Scout,45,30,20,50,40,85,40,Sonic Pulse,Sonar,Never misses.,Flutter,Buffs AGI when hit.,Blindwave
CR-002,Slag-Slime,SlagSlime,Fire,Tank,120,25,60,40,50,20,25,Magma Spit,Molten,Reflects physical.,Splatter,Slows attacker.,Eruption
CR-003,Frost-Wolf,FrostWolf,Ice,Attacker,75,55,35,40,30,70,30,Chill Bite,Pack Hunt,+ATK near ally.,Frostbite,Chills on contact.,Winter Howl
CR-004,Mud-Golem,MudGolem,Earth,Tank,150,40,80,10,20,15,10,Rock Throw,Unstoppable,Immune to CC.,Harden,+DEF when hit.,Earthwall
CR-005,Spark-Cat,SparkCat,Elect,Assassin,50,75,25,60,30,90,50,Zap Leap,Static,+Crit on move.,Zap,Minor damage to hitter.,Thunder Rain
CR-006,Vine-Snake,VineSnake,Grass,CC,65,35,45,55,50,55,20,Entangle,Regrow,Heals 5% per turn.,Thorny,Bleeds attacker.,Bloom Stun
CR-007,Iron-Knave,IronKnave,Steel,Balanced,90,50,65,30,45,45,15,Heavy Strike,Chivalry,Protects low-HP.,Block,25% dmg reduction.,Fortress
CR-008,Ember-Sprite,EmberSprite,Fire,Mage,40,20,20,85,65,60,60,Fireball,Fanned Flame,+MAG on kill.,Heat up,Buffs MAG when hit.,Supernova
CR-009,Wave-Ray,WaveRay,Water,Balanced,80,45,50,55,55,65,35,Water Jet,Fluid,Moves +1 tile.,Wash,Cleanses debuffs.,Tidal Surge
CR-010,Static-Rat,StaticRat,Elect,Swarm,35,40,15,30,10,80,10,Nibble,Horde,+AGI per active ally.,Scurry,Moves 1 tile away.,Overcharge
CR-011,Pebble-Spirit,PebbleSpirit,Earth,Scout,55,25,40,20,30,40,80,Dust Cloud,Lucky Find,+1 Action slot.,Dust Cloud,Blinds hitter.,Quake Pulse
CR-012,Mist-Weaver,MistWeaver,Air,Support,70,35,30,70,75,75,45,Healing Mist,Soothing,Allies heal +10%.,Vanish,Goes invulnerable.,Wind Shield
CR-013,Ghost-Flambé,GhostFlambe,Ghost,Debuff,60,20,40,75,80,50,70,Spooky Burn,Haunt,Lowers enemy LUK.,Phase,30% miss chance.,Nightmare
CR-014,Deep-Claw,DeepClaw,Water,Attacker,100,65,55,25,30,40,25,Crab Crush,Crush,Ignores 20% DEF.,Pincers,Roots the target.,Barrier Snap
CR-015,Sun-Lizard,SunLizard,Fire,Balanced,85,55,45,45,40,55,55,Flare Sneeze,Solar,Meter fills faster.,Flash,Lowers hit accuracy.,Sol Ray
CR-016,Bramble-Boar,BrambleBoar,Grass,Bruiser,110,60,50,20,25,35,15,Gore,Fury,+ATK on losing HP.,Rebound,Small knockback.,Thorn Patch
CR-017,Drift-Jelly,DriftJelly,Ice,CC,70,30,60,65,70,30,45,Numbing Touch,Gelatin,-20% phys dmg.,Nudge,Swaps pos with unit.,Absolute Zero
CR-018,Shadow-Stalker,ShadowStalker,Dark,Assassin,45,85,15,40,20,95,30,Backstab,Backstab,+Crit from rear.,Smoke,Teleports to safety.,Void Strike
CR-019,Light-Construct,LightConstruct,Light,Balanced,80,60,45,65,65,50,50,Prism Beam,Purity,Immune to debuffs.,Shield,Gives 50 HP bubble.,Holy Nova
CR-020,Ancient-Sentinal,AncientSentinal,Steel,Boss/Tank,250,90,120,80,100,10,100,Beam Lock,Eternal,Revives with 1 HP.,Stare,Petrifies attacker.,Judgement
